"key","date","campaign_name","ad_set_name","network","signups","p0_signup","p0_signup_per","p1_signup","p1_signup_per","total_trial","third_tcard_unlock","third_tcard_unlock_per","trial_per","d0","d0_revenue","d0_aov","d0_d6","d0_d6_revenue","d0_d6_aov","d0_d15","d0_d30","d0_d60","d0_d90","d0_per","d0_d6_per","d0_d15_per","d0_d30_per","d0_d60_per","d0_d90_per","new_user_count_by_trial","new_user_revenue_by_trial","new_user_count_by_trial_per","overall_users","overall_revenue","new_converted_user","new_converted_user_per","new_user_rev","new_user_aov","repeat_converted_user","repeat_converted_user_per","repeat_revenue","m0","m0_revenue","m0_aov","d0_trial","d0_d6_overall","d0_d6_revenue_overall","m0_p0andp1","m0_p0andp1_revenue","m0_p0andp1_aov","m0_other","m0_other_revenue","m0_other_aov","d6_mandate_con","d6_mandate_revenue","Week number"
"46104UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","23/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","5060","42","0.83","310","6.13","221","44","19.91","4.367588933","1","2899","2899","35","92065","2630.428571","40","40","40","40","0.02","0.69","0.79","0.79","0.79","0.79","38","4098","17.19","41","106560","40","0.79","104560","2614","1","0.02","2000","41","106560","2599.02439","173","40","94065","7","15794","2256.285714","7","15794","2256.285714","33","87867","Week 2"
"46104GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","23/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2674","89","3.33","421","15.74","75","11","14.67","2.804786836","0","0","","24","67176","2799","26","26","26","26","0","0.9","0.97","0.97","0.97","0.97","26","2799","34.67","26","72774","26","0.97","72774","2799","0","0","","26","72774","2799","46","26","67176","8","22392","2799","8","22392","2799","24","67176","Week 2"
"46104GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","23/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2261","80","3.54","357","15.79","63","7","11.11","2.786377709","0","0","","16","52984","3311.5","18","18","18","18","0","0.71","0.8","0.8","0.8","0.8","17","2799","26.98","19","77581","18","0.8","58582","3254.56","1","0.04","18999","19","77581","4083.210526","44","18","71983","6","41194","6865.666667","6","41194","6865.666667","15","41985","Week 2"
"46103UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","22/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","5442","51","0.94","335","6.16","215","48","22.33","3.950753399","0","0","","37","99164","2680.108108","53","53","53","53","0","0.68","0.97","0.97","0.97","0.97","53","5498","24.65","54","145247","53","0.97","142448","2687.7","1","0.02","2799","52","139649","2685.557692","148","53","101963","4","11196","2799","4","11196","2799","38","101963","Week 2"
"46103GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","22/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2502","54","2.16","381","15.23","77","11","14.29","3.07753797","1","1274","1274","21","54254","2583.52381","27","27","27","27","0.04","0.84","1.08","1.08","1.08","1.08","27","8146","35.06","27","69523","27","1.08","69523","2574.93","0","0","","25","63950","2558","46","27","54254","9","23691","2632.333333","9","23691","2632.333333","20","52980","Week 2"
"46103GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","22/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2400","60","2.5","357","14.88","96","11","11.46","4","2","5373","2686.5","26","67749","2605.730769","33","33","33","33","0.08","1.08","1.38","1.38","1.38","1.38","31","5997","32.29","33","87342","33","1.38","87342","2646.73","0","0","","31","81744","2636.903226","60","33","67749","10","24490","2449","10","24490","2449","24","62376","Week 2"
"46103200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125fb_mof_open_android_200-ads_pro-sub_191125_adset2","22/03/2026","200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125","fb_mof_open_android_200-ads_pro-sub_191125_adset2","Facebook","155","28","18.06","50","32.26","47","31","65.96","30.32258065","3","5897","1965.666667","16","43734","2733.375","17","17","17","17","1.94","10.32","10.97","10.97","10.97","10.97","16","14644","34.04","18","49682","17","10.97","46533","2737.24","1","0.65","3149","18","49682","2760.111111","31","17","46883","12","34888","2907.333333","12","34888","2907.333333","9","25191","Week 2"
"46102UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","21/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","2453","26","1.06","141","5.75","115","23","20","4.688136975","3","8323","2774.333333","18","48783","2710.166667","28","28","28","28","0.12","0.73","1.14","1.14","1.14","1.14","26","4822","22.61","31","85170","28","1.14","76773","2741.89","3","0.12","8397","31","85170","2747.419355","84","28","48783","6","9146","1524.333333","6","9146","1524.333333","14","39186","Week 2"
"46102GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","21/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2038","56","2.75","286","14.03","75","14","18.67","3.680078508","0","0","","19","50181","2641.105263","22","22","22","22","0","0.93","1.08","1.08","1.08","1.08","22","4098","29.33","28","73872","22","1.08","58578","2662.64","6","0.29","15294","28","73872","2638.285714","50","22","51480","7","11196","1599.428571","7","11196","1599.428571","20","51480","Week 2"
"46102GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","21/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","1941","51","2.63","298","15.35","63","8","12.7","3.245749614","2","9098","4549","22","60578","2753.545455","25","25","25","25","0.1","1.13","1.29","1.29","1.29","1.29","23","4098","36.51","31","84269","25","1.29","68975","2759","6","0.31","15294","31","84269","2718.354839","39","25","61877","9","20093","2232.555556","9","20093","2232.555556","21","52779","Week 2"
