"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GA_UAC-TROAS_Android_Pro-Sub_Pan-India_020925","FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_130326_FnO-Theme","FB_MOF_Detail-Target_Android_Failed-Video-Cluster_Pro-Sub_250326","GA_Aud-Signal_Android_Sector-Text-Only_All-Pro-Sub_121125","","","","","","","","",""
"","","Ad group name","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GA_UAC_Android_KYC-Catalyst-Quality-SU_Pan-India_101225","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_260326_Static-Only","FB_MOF_Detail-Target_Android_Pranit-Negative_Pro-Sub_250326","GA_Aud-Signal_Android_Short-Term-Text-Only_All-Pro-Sub_121125","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","FB_MOF_AAA_Android_Start-Trial_Best-Region_170226","FB_MOF_Detail-Target_Android_Vinayak-Inf-Test-1_V0_Pro-Sub_260326","GA_Aud-Signal_Android_Generic_Catalyst-Quality-SU&Pro_141125","","","","","","","","",""
"","","UAC-Univest-Pro-Activated-1-010823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GA_UAC-TCPA_Android_Pro-Sub_Mix-Region_200326_Perf","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_250326_Bid-Cap-2","FB_MOF_Detail-Target_Android_Vinayak-Inf-Test-2_V0_Pro-Sub_270326","GA_Aud-Signal_Android_Options_Catalyst-Quality-SU&Pro_141125","","","","","","","","",""
"18/02/2026","24/02/2026","Week 6","?608,906","1967","70","222","368","11","54","91","25639","?191,693","342093","83367","474","?310","292","15%","2,085","?1,655","18.71%","?55,355","0.6%","4.2%","11,276","2.7%","11,276","31.5%","13.7%","17.8%","19.2%","56.2%","","","19.9%","GA_UAC-TCPA_Android_Pro-Sub_Best-Region_050226_One-Plus-Subs","FB_MOF_AAA_Android_Pro-Sub_Mix-Region_200326_Perf","FB_MOF_Detail-Target_Android_Pranit-Crash-Test-1_V0_Pro-Sub_260326","GA_Aud-Signal_Android_Options_Pro-Sub_020925","","","","","","","","",""
"25/02/2026","03/03/2026","Week 5","?437,026","821","23","72","119","6","26","38","11969","?73,021","122528","53980","164","?532","95","12%","4,600","?3,672","14.49%","?72,838","0.7%","2.7%","16,809","3.2%","16,809","16.7%","12.4%","4.4%","23.2%","28.0%","","","21.2%","GA_UAC-TCPA_Android_Pro-Sub_Best-Region_130326_FnO-Theme","FB_MOF_Manual-App_Android_Any-Pro-Sub_Pan-India_250326_Subscribe-Event","FB_MOF_Detail-Target_Android_Pranit-Crash-Test-2_V0_Pro-Sub_260326","GA_Aud-Signal_Android_Generic_Pro-Sub_020925","","","","","","","","",""
"04/03/2026","10/03/2026","Week 4","?367,547","2725","24","122","121","7","38","49","22318","?260,605","309135","65475","183","?135","146","5%","2,517","?3,038","4.44%","?52,507","0.3%","6.1%","9,672","1.4%","9,672","70.9%","17.8%","53.1%","26.8%","84.1%","","","21.0%","GA_Search_Web_Pro-Sub_Best-Region_020326_Stock-Research","FB_MOF_AAA_Android_Pro-Sub_Mix-Region_190326_Mayank-Sets","FB_MOF_Detail-Target_Android_Pranit-Crash-Test-3_V0_Pro-Sub_260326","GA_Aud-Signal_Android_Generic_Catalyst-Quality-SU_101225","","","","","","","","",""
"11/03/2026","17/03/2026","Week 3","?607,227","1751","75","190","194","10","45","47","29115","?137,755","194242","71972","257","?347","265","15%","2,291","?3,130","11.08%","?60,723","0.6%","4.8%","13,494","2.6%","13,494","22.7%","11.9%","10.8%","18.3%","32.0%","","","21.1%","GA_UAC-TCPA_Android_Any-Pro-Sub_Best-Region_230226","FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_180326_Bid-Cap","FB_MOF_Detail-Target_Android_Vinayak-Inf-Test-3_V0_Pro-Sub_270326","GA_Aud-Signal_Android_Generic_Start-Trial_230226","","","","","","","","",""
"18/03/2026","24/03/2026","Week 2","?933,582","2443","79","217","306","7","60","65","18694","?187,512","231235","112354","394","?382","296","12%","3,154","?3,051","12.53%","?133,369","0.3%","2.0%","15,560","2.5%","15,560","20.1%","12.0%","8.1%","16.5%","24.8%","","","17.6%","GA_UAC-TROAS_Android_Any-Pro-Sub_Best-Region_190326_True-ROAS","200-Ad-Test_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_191125","FB_MOF_Detail-Target_Android_Black-Tamanna-Inf-Test-1_V0_Pro-Sub_270326","GA_Aud-Signal_Android_Options_Start-Trial_230226","","","","","","","","",""
"25/03/2026","31/03/2026","Week 1","?917,093","2167","55","174","352","7","25","17","40743","?183,034","185833","19392","391","?423","229","11%","4,005","?2,605","16.24%","?131,013","0.3%","4.4%","36,684","1.2%","36,684","20.0%","2.1%","17.8%","4.3%","20.3%","","","7.3%","","Test2-Campaign_FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_051225","FB_MOF_Detail-Target_Android_Black-Tamanna-Inf-Test-2_V0_Pro-Sub_270326","GA_Aud-Signal_Android_Free-Ads_Pro-Sub_200326","","","","","","","","",""
