"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ruka-Hua-Paani-Test_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Chalti-Train-Test_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Gussing-Game-Test_V0_Pro-Sub_151225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Pranit_Car-Test_Pro-Sub_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_HindZinc-Test_Pro-Sub_221225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Loophole-Test_Pro-Sub_200226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-Story-Test_Pro-Sub_230226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-BJ-Inf-Test_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-1_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-Story-Test-4_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Relax-Test_Pro-Sub_200226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Static-Cluster-Test-2_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Univest-Improved-Test_Pro-Sub_230226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Manav-Inf-Test_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Women-cluster-Test_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-2_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-4_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-5_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-6_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-Story-Test-2_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Static-Cluster-Test-1_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-Story-Test-3_Pro-Sub_250226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Stand-Alone-Static-7_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Anmol-Testimonial-Video-V2-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Anmol-Testimonial-Video-V3-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Sudhir-Solution-Test_V1_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bimbo-Test_V1_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_TFG-Podcast-Test_V1_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_New-Static-Cluster_V1_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_New-Static-Cluster_V2_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_CreatX-Final_Pro-Sub_180326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Financial-Adda_V1_Pro-Sub_180326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Financial-Adda_V2_Pro-Sub_180326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Financial-Adda_V3_Pro-Sub_180326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Video-V3-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Statics-V1-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Priority-Audience_Pro-Sub_010326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V6_Pro-Sub_150326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V7_Pro-Sub_150326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V8_Pro-Sub_160326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test-SA_V9_Pro-Sub_160326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test-SA_V10_Pro-Sub_160326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cute-AI-Test_Pro-Sub_160326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cute-Orange-Test_Pro-Sub_160326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Garvit-Influencer-1-Test_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Garvit-Influencer-2-Test_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Garvit-Influencer-3-Test_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Tamannah-1-Inf-Test_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bumper-Ads_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Suiiii-Test_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Volatile-Market-1-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Volatile-Market-2-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Nupur-Inf-1-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Nupur-Inf-2-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Budhu-Ladki-Returns-1-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Budhu-Ladki-Returns-2-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Budhu-Ladki-Returns-3-Test_Pro-Sub_130326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-2-Test_Pro-Sub_140326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V3_Pro-Sub_150326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V4_Pro-Sub_150326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_V5_Pro-Sub_150326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Univest-Car-Test_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_India-Win-T20-Test_Pro-Sub_080326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Turtle-Dheere-Chalna-Test_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bonus-Reel-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android-Copy-Karana-Band-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Risk-Hai-Toh-Ishq-Hai-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Risky-Markets-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Shut-The-Noice-Test_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Premimum-Telegram-Test_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ghar-Wale-Shadi-Ke-Piche-Pade-Hai-Test_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Concert-Static-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-3-Galtiya-Test_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Only-FB_Pro-Sub_060326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_200-Ads-2_Pro-Sub_230226_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_Scalper_Users-2%_Pro-Sub_080326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_Demat-LTV_Users-1%_Pro-Sub_080326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_High-LTV_Users-2%_Pro-Sub_100326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Figure-Test_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Beard-Man-Test-1_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Beard-Man-Test-2_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Beard-Man-Test-3_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Figure-Test_V2_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bear-Cluster-Test_Pro-Sub_050326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Anmol-Testimonial-Video-V1-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Google-Search-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Grey-Eyes-Man-Test_V1_Pro-Sub_120326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bull-Enter-Stress-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Agency-Ai-Test_V2_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Kitna-Dooba-Test_V2_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Naked-Calls-Test_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_News-Test_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Statics-V2-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Video-V2-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_One-Builds-Portfolio-Test_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_200-Ads_Pro-Sub_191125_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Ladki-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Colors-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Fire-Ai-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Spray-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Green-Portfolio-Test_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_CEO-Tips-News-Test_Pro-Sub_030326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bus-Stand-Test_Pro-Sub_070326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cricket-Ground-Test_Pro-Sub_080326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Pranit-Option-Traders-Test_Pro-Sub_080326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Dhyaan-Se-Suno-Inf-Test_V1_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ghadi-Time-Test_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Dhyaan-Se-Suno-Inf-Test_V2_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Trading-is-so-Difficult-Cluster-Test_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Pranit-Ai-Option-Traders-Test_Pro-Sub_110326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Kabir-Inf-Test_V2_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_AI-Videos-Test_Pro-Sub_190226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Offer-Test_Pro-Sub_270226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Offer2-Test_Pro-Sub_270226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-RA-Test_V1_Pro-Sub_270226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-RA-Test_V2_Pro-Sub_270226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail_Target_Android_Ai-Sector-Sardar-Test_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Univest-Improved-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Sudhir-Test_Pro-Sub_020326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Sardar-Inf-Test_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_RA-Sardar-Inf-Test_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Wallet-AI-Test_Pro-Sub_160226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_200-Ads-2_Pro-Sub_230226_Adset2","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telegram-Statics-V3-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cricket-match_Pro-Sub_12022026","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Uncle-Video-V1-Test_Pro-Sub_130226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Uncle-Video-V3-Test_Pro-Sub_130226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Anurag-Inf-Test_Pro-Sub_160226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Advisory-Picks-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Yash-Ripal-CCTV-Test_V0_Pro-Sub_270126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_200-Ads_Pro-Sub_160126_Adset3","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Holi-Ladki-Test_Pro-Sub_270226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Sardar-and-Banner-Cluster-Test_Pro-Sub_110226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_India-Win-Test_Pro-Sub_160226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Pranit-Silver-FD-Test_Pro-Sub_160226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Kabir-Inf-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cricket-Bus-Static-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Locked-Past-Perf-Gamble-Static-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Advisory-Idea-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Silver-Gold-Inf-Test_V0_Pro-Sub_180226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Sam-Altman-Test_Pro-Sub_180226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Static-AI-Test_Pro-Sub_180226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AA_Android_Anurag-Test_V2_Pro-Sub_190226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail_Target_Android_AI-Story-Test_V5_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Turtle-Theory-Test_Pro-Sub_260226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Banner-Statics-Test_V1_Pro-Sub_050226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Metro-Video-Cluster_V1_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Sardar-2-Inf-Test_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bangalore-Region_V0_Pro-Sub_100226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Delhi-NCR_V0_Pro-Sub_100226","","","","","","","","","",""
